,期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2
523,19098,13,15,17,19,22,03,04
524,19097,10,17,20,30,35,10,12
525,19096,02,12,22,23,27,02,06
526,19095,03,12,17,19,31,02,06
527,19094,01,12,14,26,27,07,09
528,19093,16,17,26,29,35,01,07
529,19092,02,11,15,27,30,02,05
530,19091,04,13,20,26,28,03,12
531,19090,13,19,28,30,33,02,12
532,19089,09,14,18,33,34,03,12
533,19088,01,05,18,27,33,06,08
534,19087,05,06,18,19,27,07,12
535,19086,05,15,16,28,31,02,07
536,19085,04,05,06,15,26,08,11
537,19084,12,23,25,34,35,01,07
538,19083,17,24,26,28,32,07,09
539,19082,06,18,20,21,31,03,04
540,19081,06,24,26,30,33,02,07
541,19080,05,13,18,19,24,02,07
542,19079,10,13,16,28,35,04,05
543,19078,05,10,21,26,30,01,07
544,19077,01,15,17,21,33,07,10
545,19076,01,06,11,23,29,01,11
546,19075,05,06,07,11,16,02,11
547,19074,08,09,13,14,34,05,07
548,19073,04,11,19,20,24,08,11
549,19072,02,04,06,09,18,07,10
550,19071,07,13,14,15,22,07,11
551,19070,02,13,15,22,34,02,12
552,19069,08,22,23,33,34,04,06
553,19068,04,05,08,17,27,06,11
554,19067,03,08,11,15,16,02,10
555,19066,04,10,11,18,31,05,08
556,19065,03,08,10,23,27,02,12
557,19064,07,08,13,19,29,11,12
558,19063,05,08,15,18,21,04,08
559,19062,05,16,23,25,28,01,12
560,19061,01,02,13,14,26,05,11
561,19060,01,11,12,18,21,08,10
562,19059,07,08,15,27,32,08,12
563,19058,03,10,13,14,32,07,11
564,19057,08,14,16,34,35,06,12
565,19056,01,07,10,12,23,06,08
566,19055,02,04,06,19,22,02,06
567,19054,02,18,23,27,30,05,10
568,19053,01,11,19,26,35,11,12
569,19052,04,10,15,20,24,07,11
570,19051,11,15,16,20,29,04,08
571,19050,04,15,16,20,35,03,12
572,19049,10,16,22,26,27,07,11
573,19048,06,10,16,29,33,05,11
574,19047,03,04,10,16,32,04,09
575,19046,02,08,14,15,35,10,12
576,19045,01,04,16,19,33,03,12
577,19044,03,06,10,12,31,01,02
578,19043,02,06,07,12,15,06,12
579,19042,04,10,13,28,33,11,12
580,19041,12,19,20,22,28,02,06
581,19040,01,03,31,32,34,01,03
582,19039,01,12,18,26,35,06,12
583,19038,05,11,16,18,27,07,12
584,19037,06,16,26,33,35,04,08
585,19036,03,09,21,28,30,01,12
586,19035,01,03,05,07,18,08,09
587,19034,08,12,15,27,30,01,02
588,19033,01,02,04,16,24,07,09
589,19032,01,04,07,11,30,07,08
590,19031,03,08,21,26,33,04,05
591,19030,07,09,13,14,33,02,04
592,19029,01,04,18,24,28,02,03
593,19028,06,22,28,29,33,02,07
594,19027,16,18,24,25,27,02,07
595,19026,10,12,15,17,19,02,03
596,19025,06,13,16,19,29,03,07
597,19024,11,17,19,29,33,08,09
598,19023,01,03,14,26,30,06,11
599,19022,01,04,14,15,21,01,05
600,19021,07,13,17,24,33,01,10
601,19020,01,08,16,27,34,03,12
602,19019,04,11,19,25,32,01,02
603,19018,03,18,19,26,34,06,12
604,19017,01,05,07,22,25,03,04
605,19016,03,05,13,16,28,02,06
606,19015,02,05,10,13,30,04,06
607,19014,12,14,20,28,31,09,11
608,19013,08,10,15,17,18,01,08
609,19012,05,09,17,18,19,07,10
610,19011,04,12,13,16,17,04,09
611,19010,03,07,24,25,27,02,12
612,19009,03,09,15,18,26,06,12
613,19008,03,08,17,20,24,06,11
614,19007,03,12,16,29,32,01,05
615,19006,14,17,19,25,30,04,08
616,19005,21,26,27,29,34,05,06
617,19004,15,16,17,31,32,03,09
618,19003,04,08,18,20,32,10,12
619,19002,02,07,14,22,31,01,07
620,19001,06,18,23,26,28,03,12
621,18154,14,22,23,26,30,03,05
622,18153,03,06,07,08,21,01,08
623,18152,02,04,05,12,28,08,11
624,18151,04,08,18,29,30,03,07
625,18150,05,12,13,31,34,10,12
626,18149,01,07,10,11,20,03,06
627,18148,02,06,24,33,34,02,03
628,18147,01,11,26,33,35,02,10
629,18146,03,08,09,13,33,01,02
630,18145,09,18,29,31,33,06,11
631,18144,06,17,18,24,31,07,11
632,18143,04,07,20,22,33,01,02
633,18142,19,24,28,29,34,10,11
634,18141,03,07,23,26,33,04,09
635,18140,01,06,08,12,15,03,04
636,18139,05,11,16,28,35,06,09
637,18138,01,23,24,28,33,04,05
638,18137,07,10,22,23,33,08,11
639,18136,03,11,12,19,21,05,11
640,18135,14,19,23,27,34,06,12
641,18134,04,05,19,31,35,02,12
642,18133,08,12,14,15,19,01,10
643,18132,03,16,22,23,27,01,04
644,18131,12,14,21,32,33,02,11
645,18130,03,04,16,18,25,01,11
646,18129,04,07,21,22,29,03,06
647,18128,11,12,14,16,26,08,09
648,18127,01,03,04,11,29,08,12
649,18126,11,13,15,21,27,05,06
650,18125,07,16,20,21,34,04,06
651,18124,08,10,12,19,20,10,11
652,18123,06,09,29,32,35,02,04
653,18122,08,09,21,30,31,05,12
654,18121,06,07,21,29,30,01,10
655,18120,21,22,25,27,30,08,09
656,18119,06,09,11,16,35,02,05
657,18118,04,05,14,21,34,06,09
658,18117,07,11,13,22,29,03,08
659,18116,01,14,17,21,33,07,10
660,18115,02,06,13,18,25,01,02
661,18114,12,18,26,28,29,05,06
662,18113,08,12,27,31,33,04,08
663,18112,03,07,08,09,29,09,10
664,18111,03,16,27,28,32,04,05
665,18110,06,19,21,27,28,03,11
666,18109,10,16,23,25,34,02,05
667,18108,09,10,24,31,32,07,12
668,18107,07,08,09,10,22,03,04
669,18106,04,14,17,24,31,01,04
670,18105,01,16,19,20,31,02,07
671,18104,01,13,14,26,28,07,11
672,18103,14,24,26,28,35,02,03
673,18102,06,07,13,22,24,10,12
674,18101,03,14,15,23,29,04,05
675,18100,06,20,21,26,30,06,09
676,18099,12,13,16,20,21,01,07
677,18098,02,15,18,25,27,05,07
678,18097,10,12,14,18,23,01,04
679,18096,13,14,20,28,34,06,10
680,18095,07,14,18,29,35,05,12
681,18094,11,16,25,30,34,08,10
682,18093,03,11,16,18,33,03,11
683,18092,05,07,14,18,19,04,10
684,18091,06,22,26,28,31,01,07
685,18090,06,20,24,33,34,04,11
686,18089,26,27,28,32,34,06,10
687,18088,08,09,21,25,33,01,08
688,18087,03,14,19,23,25,01,04
689,18086,16,22,24,29,31,04,05
690,18085,01,02,14,25,31,05,07
691,18084,06,11,17,22,35,11,12
692,18083,07,12,25,27,28,10,11
693,18082,01,02,14,17,18,08,10
694,18081,02,10,13,21,35,01,12
695,18080,07,16,24,26,31,10,11
696,18079,03,04,10,27,29,01,05
697,18078,07,11,12,22,30,03,06
698,18077,01,06,09,15,26,08,09
699,18076,07,18,28,29,32,06,08
700,18075,01,06,12,20,34,04,12
701,18074,03,09,12,28,30,04,12
702,18073,13,19,24,25,29,02,08
703,18072,05,12,17,24,26,01,02
704,18071,02,05,23,30,31,03,09
705,18070,02,05,10,16,30,04,07
706,18069,01,08,13,21,24,02,11
707,18068,08,12,16,26,33,05,06
708,18067,03,07,12,18,31,07,10
709,18066,01,20,23,32,33,01,04
710,18065,07,10,28,31,32,08,10
711,18064,01,03,04,11,29,02,04
712,18063,05,14,15,32,34,03,10
713,18062,12,14,19,23,35,02,07
714,18061,04,10,12,28,31,08,11
715,18060,04,22,27,29,31,02,10
716,18059,01,09,10,27,35,06,11
717,18058,09,11,12,26,32,04,10
718,18057,13,19,22,27,28,05,06
719,18056,02,04,16,28,34,05,07
720,18055,03,07,20,33,34,09,10
721,18054,09,10,12,20,30,01,07
722,18053,11,16,21,23,25,02,12
723,18052,05,16,18,19,25,02,07
724,18051,09,18,28,29,35,03,11
